2020-06-15 22:42:04,230 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:04,313 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?doctype=Role&filters=%5B%5B%22Role%22%2C%22disabled%22%2C%22%3D%22%2C0%5D%5D&fields=%5B%22count(%60tabRole%60.%60name%60)+AS+total_count%22%5D&_=1592256316879', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:04,382 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get_sidebar_stats', 'full_path': '/api/method/frappe.desk.reportview.get_sidebar_stats?stats=%5B%22_user_tags%22%5D&doctype=Role&filters=%5B%5B%22Role%22%2C%22disabled%22%2C%22%3D%22%2C0%2Cfalse%5D%5D&_=1592256316880', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:05,087 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:05,152 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?doctype=Role&filters=%5B%5B%22Role%22%2C%22disabled%22%2C%22%3D%22%2C0%5D%5D&fields=%5B%22count(%60tabRole%60.%60name%60)+AS+total_count%22%5D&_=1592256316881', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:05,212 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get_sidebar_stats', 'full_path': '/api/method/frappe.desk.reportview.get_sidebar_stats?stats=%5B%22_user_tags%22%5D&doctype=Role&filters=%5B%5B%22Role%22%2C%22disabled%22%2C%22%3D%22%2C0%2Cfalse%5D%5D&_=1592256316882', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:13,899 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.deferred_insert.deferred_insert', 'full_path': '/api/method/frappe.deferred_insert.deferred_insert?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:18,646 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/desk', 'full_path': '/desk?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:18,714 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.form.load.getdoc', 'full_path': '/api/method/frappe.desk.form.load.getdoc?doctype=Role&name=Non+Profit+Member&_=1592256316883', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:20,035 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.realtime.can_subscribe_doc', 'full_path': '/api/method/frappe.realtime.can_subscribe_doc?sid=1fec0d3634689fe3bf8c6e6dc42752ca73d98f6e8b7a8a1708e4f1c8&doctype=Role&docname=Non%20Profit%20Member', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
