2020-06-12 08:46:28,877 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:28,878 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:28,879 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:42,741 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:43,094 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:47,061 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:50,138 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:51,322 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:57,761 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:47:07,475 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:47:37,607 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
